games,calculatedCats
Alien,3
Amidar,5
Assault,0
Asterix,8
Asteroids,1
Atlantis,4
Bank Heist,5
Battle Zone,3
Beam Rider,4
Berzerk ,1
Bowling,1
Boxing,7
Breakout,2
Centipede,1
Chopper Command,2
Crazy Climber,0
Defender,6
Demon Attack ,6
Double Dunk ,0
Enduro,0
Fishing Derby ,5
Freeway,9
Frostbite ,3
Gopher,0
Gravitar ,1
H.E.R.O,6
Ice Hockey ,3
Kangaroo,7
Krull,7
Kung-Fu Master,0
Montezuma's Revenge,1
Ms. Pacman,1
Name This Game ,0
Phoenix,6
Pit Fall,1
Pong,7
Private Eye**,1
Q*Bert,5
Road Runner,0
Robotank,7
Seaquest,5
Skiing,1
Solaris**,1
Space Invaders,6
Star Gunner,4
Surround,3
Tennis,8
Time Pilot,6
Tutankham,2
Venture,3
Video Pinball*,0
Wizard of Wor ,6
Yars Revenge,1
Zaxxon,6
